Address, City, State, Zip Code, Latitude, Longitude
17800 Congress Avenue, Boca Raton,Florida,33487,26.4127325,-80.1003847
6275 Naples Boulevard, Naples,Florida,34109-2030,26.2207732,-81.7754403
10088 Gulf Center Drive, Fort Myers,Florida,33913-8961,26.4899933,-81.7855808
7171 Cypress Lake Drive, Fort Myers,Florida,33907-6521,26.5444258,-81.8745308
10921 Causeway Blvd., Brandon,Florida,33511-2903,27.9212985,-82.3313503
1873 West Lantana Road, Lantana,Florida,33462-2698,26.5884878,-80.0710936
11001 Southern Blvd - Ste 160, Royal Palm Beach,Florida,33411-4240,26.6833107,-80.221067
3250 Northlake Boulevard, Lake Park,Florida,33403-1702,26.8065511,-80.0875392
1890 South University Drive, Davie,Florida,33324-5847,26.0965863,-80.2474375
13450 SW 120th St, Kendall,Florida,33186-7393,25.6547868,-80.4130892
14585 Biscayne Boulevard, North Miami Beach,Florida,33181-1209,25.9099568,-80.155961
8300 Park Boulevard, Miami,Florida,33126-3832,25.7741042,-80.3311727
1800 West Sample Road, Pompano Beach,Florida,33064-1324,26.2734157,-80.1499808
15915 Pines Blvd, Pembroke Pines,Florida,33027-1201,26.009617,-80.360331
16580 NW 59th Avenue, Miami,Florida,33014-5611,25.9230781,-80.2990295
2101 Water Bridge Blvd, Orlando,Florida,32837-9283,28.4045746,-81.4066376
3333 University Boulevard, Winter Park,Florida,32792-7428,28.599536,-81.3000689
741 Orange Avenue, Altamonte Springs,Florida,32714-3031,28.6609943,-81.4173493
4067 Lagniappe Way, Tallahassee,Florida,32317-1201,30.4604796,-84.2121331
4901 Gate Parkway, Jacksonville,Florida,32246-4405,30.2516823,-81.5335109
2655 Gulf to Bay Blvd., Clearwater,Florida,33759,27.9562116,-82.7287138
100 Cobb Parkway, Ringgold,Georgia,30742,34.9686445,-85.1952461
1550 Mall of Georgia Blvd, Buford,Georgia,30519-6551,34.0622636,-83.9966547
2900 Cumberland Mall, Atlanta,Georgia,30339-8107,33.8823149,-84.4703293
